"","hexID","decID","l4hex","l4dec","idx","recapCount","firstObserved","lastObserved","x","HEX.Tag.ID","Species","Length.Inches","Client"
"132","3DD.003E0580E4","989.001040548068","80E4","8068",97,1,2022-04-27 12:36:00,2022-04-27 12:36:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580E4",NA,NA,NA
"133","3DD.003E0580E5","989.001040548069","80E5","8069",173,1,2022-04-27 14:40:00,2022-04-27 14:40:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E0580E5",NA,NA,NA
"135","3DD.003E0580E7","989.001040548071","80E7","8071",175,1,2022-04-27 14:41:00,2022-04-27 14:41:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E0580E7",NA,NA,NA
"136","3DD.003E0580E8","989.001040548072","80E8","8072",112,1,2022-04-27 12:44:00,2022-04-27 12:44:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580E8",NA,NA,NA
"137","3DD.003E0580E9","989.001040548073","80E9","8073",115,1,2022-04-27 12:46:00,2022-04-27 12:46:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E0580E9",NA,NA,NA
"138","3DD.003E0580EA","989.001040548074","80EA","8074",149,1,2022-04-27 13:54:00,2022-04-27 13:54:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580EA",NA,NA,NA
"139","3DD.003E0580EB","989.001040548075","80EB","8075",120,1,2022-04-27 13:40:00,2022-04-27 13:40:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E0580EB",NA,NA,NA
"140","3DD.003E0580EC","989.001040548076","80EC","8076",145,1,2022-04-27 13:52:00,2022-04-27 13:52:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580EC",NA,NA,NA
"141","3DD.003E0580ED","989.001040548077","80ED","8077",103,1,2022-04-27 12:38:00,2022-04-27 12:38:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580ED",NA,NA,NA
"142","3DD.003E0580EE","989.001040548078","80EE","8078",134,1,2022-04-27 13:46:00,2022-04-27 13:46:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E0580EE",NA,NA,NA
"143","3DD.003E0580EF","989.001040548079","80EF","8079",178,1,2022-04-27 14:43:00,2022-04-27 14:43:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580EF",NA,NA,NA
"144","3DD.003E0580F0","989.00104054808","80F0","4808",538,1,2022-04-28 11:00:00,2022-04-28 11:00:00,"Reader_Data/Fish-Recapture-Beta-Working.csv","3DD.003E0580F0","Brown",NA,NA
"145","3DD.003E0580F1","989.001040548081","80F1","8081",99,1,2022-04-27 12:37:00,2022-04-27 12:37:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E0580F1",NA,NA,NA
"146","3DD.003E0580F2","989.001040548082","80F2","8082",137,1,2022-04-27 13:48:00,2022-04-27 13:48:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580F2",NA,NA,NA
"147","3DD.003E0580F3","989.001040548083","80F3","8083",136,1,2022-04-27 13:48:00,2022-04-27 13:48:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580F3",NA,NA,NA
"148","3DD.003E0580F4","989.001040548084","80F4","8084",154,1,2022-04-27 13:57:00,2022-04-27 13:57:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580F4",NA,NA,NA
"149","3DD.003E0580F5","989.001040548085","80F5","8085",105,1,2022-04-27 12:40:00,2022-04-27 12:40:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580F5",NA,NA,NA
"150","3DD.003E0580F6","989.001040548086","80F6","8086",132,1,2022-04-27 13:45:00,2022-04-27 13:45:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E0580F6",NA,NA,NA
"151","3DD.003E0580F7","989.001040548087","80F7","8087",168,1,2022-04-27 14:35:00,2022-04-27 14:35:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580F7",NA,NA,NA
"152","3DD.003E0580F8","989.001040548088","80F8","8088",171,1,2022-04-27 14:38:00,2022-04-27 14:38:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580F8",NA,NA,NA
"153","3DD.003E0580F9","989.001040548089","80F9","8089",177,1,2022-04-27 14:42:00,2022-04-27 14:42:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580F9",NA,NA,NA
"156","3DD.003E0580FD","989.001040548093","80FD","8093",157,1,2022-04-27 13:58:00,2022-04-27 13:58:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580FD",NA,NA,NA
"158","3DD.003E0580FF","989.001040548095","80FF","8095",135,1,2022-04-27 13:47:00,2022-04-27 13:47:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580FF",NA,NA,NA
"159","3DD.003E058101","989.001040548097","8101","8097",116,1,2022-04-27 12:46:00,2022-04-27 12:46:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E058101",NA,NA,NA
"160","3DD.003E058102","989.001040548098","8102","8098",150,1,2022-04-27 13:54:00,2022-04-27 13:54:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E058102",NA,NA,NA
"161","3DD.003E058103","989.001040548099","8103","8099",96,1,2022-04-27 12:35:00,2022-04-27 12:35:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E058103",NA,NA,NA
"163","3DD.003E058105","989.001040548101","8105","8101",110,1,2022-04-27 12:43:00,2022-04-27 12:43:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E058105",NA,NA,NA
"164","3DD.003E058106","989.001040548102","8106","8102",140,1,2022-04-27 13:50:00,2022-04-27 13:50:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E058106",NA,NA,NA
"166","3DD.003E058108","989.001040548104","8108","8104",156,1,2022-04-27 13:58:00,2022-04-27 13:58:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E058108",NA,NA,NA
"167","3DD.003E058109","989.001040548105","8109","8105",131,1,2022-04-27 13:45:00,2022-04-27 13:45:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E058109",NA,NA,NA
"168","3DD.003E05810A","989.001040548106","810A","8106",118,1,2022-04-27 13:39:00,2022-04-27 13:39:00,"Image_Data/APP-4-27-22.csv","3DD.003E05810A",NA,NA,NA
"169","3DD.003E05810B","989.001040548107","810B","8107",181,1,2022-04-27 14:45:00,2022-04-27 14:45:00,"Image_Data/APP-4-27-22.csv","3DD.003E05810B",NA,NA,NA
"170","3DD.003E05810C","989.001040548108","810C","8108",109,1,2022-04-27 12:43:00,2022-04-27 12:43:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E05810C",NA,NA,NA
"171","3DD.003E05810D","989.001040548109","810D","8109",165,1,2022-04-27 14:33:00,2022-04-27 14:33:00,"Image_Data/APP-4-27-22.csv","3DD.003E05810D",NA,NA,NA
"173","3DD.003E05810F","989.001040548111","810F","8111",164,1,2022-04-27 14:32:00,2022-04-27 14:32:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E05810F",NA,NA,NA
"174","3DD.003E058110","989.001040548112","8110","8112",144,1,2022-04-27 13:51:00,2022-04-27 13:51:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E058110",NA,NA,NA
"176","3DD.003E058112","989.001040548114","8112","8114",152,1,2022-04-27 13:55:00,2022-04-27 13:55:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E058112",NA,NA,NA
"177","3DD.003E058113","989.001040548115","8113","8115",130,1,2022-04-27 13:44:00,2022-04-27 13:44:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E058113",NA,NA,NA
"179","3DD.003E058115","989.001040548117","8115","8117",121,1,2022-04-27 13:40:00,2022-04-27 13:40:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E058115",NA,NA,NA
"180","3DD.003E058116","989.001040548118","8116","8118",167,1,2022-04-27 14:34:00,2022-04-27 14:34:00,"Image_Data/APP-4-27-22.csv","3DD.003E058116",NA,NA,NA
"181","3DD.003E058117","989.001040548119","8117","8119",111,1,2022-04-27 12:44:00,2022-04-27 12:44:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E058117","Brown Trout",12.6,NA
"183","3DD.003E058119","989.001040548121","8119","8121",101,1,2022-04-27 12:37:00,2022-04-27 12:37:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E058119",NA,NA,NA
"184","3DD.003E05811A","989.001040548122","811A","8122",155,1,2022-04-27 13:57:00,2022-04-27 13:57:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E05811A",NA,NA,NA
"185","3DD.003E05811B","989.001040548123","811B","8123",119,1,2022-04-27 13:39:00,2022-04-27 13:39:00,"Image_Data/APP-4-27-22.csv","3DD.003E05811B",NA,NA,NA
"186","3DD.003E05811C","989.001040548124","811C","8124",102,1,2022-04-27 12:38:00,2022-04-27 12:38:00,"Image_Data/APP-4-27-22.csv","3DD.003E05811C",NA,NA,NA
"187","3DD.003E05811D","989.001040548125","811D","8125",142,1,2022-04-27 13:50:00,2022-04-27 13:50:00,"Image_Data/APP-4-27-22.csv","3DD.003E05811D",NA,NA,NA
"188","3DD.003E05811E","989.001040548126","811E","8126",170,1,2022-04-27 14:37:00,2022-04-27 14:37:00,"Image_Data/APP-4-27-22.csv","3DD.003E05811E",NA,NA,NA
"189","3DD.003E05811F","989.001040548127","811F","8127",161,1,2022-04-27 14:30:00,2022-04-27 14:30:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E05811F",NA,NA,NA
"190","3DD.003E058120","989.001040548128","8120","8128",179,1,2022-04-27 14:44:00,2022-04-27 14:44:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E058120",NA,NA,NA
"193","3DD.003E058123","989.001040548131","8123","8131",138,1,2022-04-27 13:49:00,2022-04-27 13:49:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E058123",NA,NA,NA
"194","3DD.003E058124","989.001040548132","8124","8132",163,1,2022-04-27 14:31:00,2022-04-27 14:31:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E058124",NA,NA,NA
"195","3DD.003E058125","989.001040548133","8125","8133",151,1,2022-04-27 13:55:00,2022-04-27 13:55:00,"Image_Data/APP-4-27-22.csv","3DD.003E058125",NA,NA,NA
"196","3DD.003E058126","989.001040548134","8126","8134",147,1,2022-04-27 13:53:00,2022-04-27 13:53:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E058126",NA,NA,NA
"197","3DD.003E058127","989.001040548135","8127","8135",139,1,2022-04-27 13:49:00,2022-04-27 13:49:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E058127",NA,NA,NA
"198","3DD.003E058128","989.001040548136","8128","8136",148,1,2022-04-27 13:53:00,2022-04-27 13:53:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E058128",NA,NA,NA
"199","3DD.003E058129","989.001040548137","8129","8137",162,1,2022-04-27 14:31:00,2022-04-27 14:31:00,"Image_Data/APP-4-27-22.csv","3DD.003E058129",NA,NA,NA
"200","3DD.003E05812A","989.001040548138","812A","8138",106,1,2022-04-27 12:42:00,2022-04-27 12:42:00,"Image_Data/APP-4-27-22.csv","3DD.003E05812A",NA,NA,NA
"202","3DD.003E0582BC","989.00104054854","82BC","4854",553,1,2022-07-18 13:06:14,2022-07-18 13:06:14,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582BC","Rainbow",8,NA
"203","3DD.003E0582C5","989.001040548549","82C5","8549",329,1,2022-07-18 11:57:22,2022-07-18 11:57:22,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582C5","Rainbow",5,NA
"204","3DD.003E0582CA","989.001040548554","82CA","8554",347,1,2022-07-18 14:41:06,2022-07-18 14:41:06,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582CA","Rainbow",5,NA
"205","3DD.003E0582CB","989.001040548555","82CB","8555",350,1,2022-07-18 14:43:01,2022-07-18 14:43:01,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582CB","Rainbow",4,NA
"206","3DD.003E0582CC","989.001040548556","82CC","8556",335,1,2022-07-18 12:30:46,2022-07-18 12:30:46,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582CC","Rainbow",16,NA
"207","3DD.003E0582D0","989.00104054856","82D0","4856",552,1,2022-07-18 13:05:39,2022-07-18 13:05:39,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582D0","Rainbow",6,NA
"208","3DD.003E0582D6","989.001040548566","82D6","8566",345,1,2022-07-18 14:39:40,2022-07-18 14:39:40,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582D6","Rainbow",6,NA
"209","3DD.003E0582DB","989.001040548571","82DB","8571",332,1,2022-07-18 12:28:31,2022-07-18 12:28:31,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582DB","Brown",24,NA
"210","3DD.003E0582DC","989.001040548572","82DC","8572",342,1,2022-07-18 13:04:56,2022-07-18 13:04:56,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582DC","Rainbow",6,NA
"211","3DD.003E0582DE","989.001040548574","82DE","8574",337,1,2022-07-18 12:32:32,2022-07-18 12:32:32,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582DE","Rainbow",4,NA
"212","3DD.003E0582E3","989.001040548579","82E3","8579",328,1,2022-07-18 11:56:17,2022-07-18 11:56:17,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582E3","Brown",6,NA
"213","3DD.003E0582E6","989.001040548582","82E6","8582",336,1,2022-07-18 12:31:58,2022-07-18 12:31:58,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582E6","Rainbow",6,NA
"214","3DD.003E0582E7","989.001040548583","82E7","8583",333,1,2022-07-18 12:29:12,2022-07-18 12:29:12,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582E7","Brown",20,NA
"215","3DD.003E0582EB","989.001040548587","82EB","8587",324,1,2022-07-18 10:19:28,2022-07-18 10:19:28,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582EB","Rainbow",5,NA
"216","3DD.003E0582F2","989.001040548594","82F2","8594",343,1,2022-07-18 14:38:17,2022-07-18 14:38:17,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582F2","Rainbow",16,NA
"217","3DD.003E0582F3","989.001040548595","82F3","8595",331,1,2022-07-18 11:59:15,2022-07-18 11:59:15,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582F3","Rainbow",5,NA
"218","3DD.003E0582F8","989.0010405486","82F8","5486",579,1,2022-07-18 12:48:07,2022-07-18 12:48:07,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582F8","Rainbow",4,NA
"219","3DD.003E0582F9","989.001040548601","82F9","8601",344,1,2022-07-18 14:38:52,2022-07-18 14:38:52,"Reader_Data/7-18-22-Reader.csv","3DD.003E0582F9","Brown",7,NA
"220","3DD.003E058300","989.001040548608","8300","8608",330,1,2022-07-18 11:58:18,2022-07-18 11:58:18,"Reader_Data/7-18-22-Reader.csv","3DD.003E058300","Rainbow",5,NA
"221","3DD.003E058304","989.001040548612","8304","8612",339,1,2022-07-18 12:47:29,2022-07-18 12:47:29,"Reader_Data/7-18-22-Reader.csv","3DD.003E058304","Rainbow",4,NA
"222","3DD.003E058306","989.001040548614","8306","8614",348,1,2022-07-18 14:41:42,2022-07-18 14:41:42,"Reader_Data/7-18-22-Reader.csv","3DD.003E058306","Rainbow",5,NA
"223","3DD.003E05830B","989.001040548619","830B","8619",341,1,2022-07-18 13:04:32,2022-07-18 13:04:32,"Reader_Data/7-18-22-Reader.csv","3DD.003E05830B","Brown",5,NA
"224","3DD.003E05830D","989.001040548621","830D","8621",338,1,2022-07-18 12:46:17,2022-07-18 12:46:17,"Reader_Data/7-18-22-Reader.csv","3DD.003E05830D","Rainbow",5,NA
"225","3DD.003E05830F","989.001040548623","830F","8623",340,1,2022-07-18 13:04:00,2022-07-18 13:04:00,"Reader_Data/7-18-22-Reader.csv","3DD.003E05830F","Brown",4,NA
"226","3DD.003E058312","989.001040548626","8312","8626",325,1,2022-07-18 11:21:02,2022-07-18 11:21:02,"Reader_Data/7-18-22-Reader.csv","3DD.003E058312","Brown",15,NA
"227","3DD.003E058318","989.001040548632","8318","8632",334,1,2022-07-18 12:29:42,2022-07-18 12:29:42,"Reader_Data/7-18-22-Reader.csv","3DD.003E058318","Brown",16,NA
"228","3DD.003E058319","989.001040548633","8319","8633",327,1,2022-07-18 11:54:56,2022-07-18 11:54:56,"Reader_Data/7-18-22-Reader.csv","3DD.003E058319","Brown",16,NA
"229","3DD.003E05831A","989.001040548634","831A","8634",326,1,2022-07-18 11:22:49,2022-07-18 11:22:49,"Reader_Data/7-18-22-Reader.csv","3DD.003E05831A","Brown",6,NA
"230","3DD.003E05831B","989.001040548635","831B","8635",349,1,2022-07-18 14:42:14,2022-07-18 14:42:14,"Reader_Data/7-18-22-Reader.csv","3DD.003E05831B","Rainbow",4,NA
"231","3DD.003E05831F","989.001040548639","831F","8639",346,1,2022-07-18 14:40:27,2022-07-18 14:40:27,"Reader_Data/7-18-22-Reader.csv","3DD.003E05831F","Rainbow",6,NA
"233","3DD.003E1BF1B6","989.001042018742","F1B6","8742",219,1,2022-04-27 15:25:00,2022-04-27 15:25:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1B6",NA,NA,NA
"234","3DD.003E1BF1B7","989.001042018743","F1B7","8743",236,1,2022-04-27 15:35:00,2022-04-27 15:35:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1B7",NA,NA,NA
"237","3DD.003E1BF1BB","989.001042018747","F1BB","8747",253,1,2022-04-27 16:20:00,2022-04-27 16:20:00,"Image_Data/Brett_SC_Fish_Tagging_4_27_22.csv","3DD.003E1BF1BB",NA,NA,NA
"238","3DD.003E1BF1BC","989.001042018748","F1BC","8748",183,1,2022-04-27 14:46:00,2022-04-27 14:46:00,"Image_Data/APP-4-27-22.csv","3DD.003E1BF1BC",NA,NA,NA
"241","3DD.003E1BF1BF","989.001042018751","F1BF","8751",195,1,2022-04-27 15:16:00,2022-04-27 15:16:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E1BF1BF",NA,NA,NA
"242","3DD.003E1BF1C0","989.001042018752","F1C0","8752",243,1,2022-04-27 15:39:00,2022-04-27 15:39:00,"Image_Data/Brett_SC_Fish_Tagging_4_27_22.csv","3DD.003E1BF1C0",NA,NA,NA
"243","3DD.003E1BF1C1","989.001042018753","F1C1","8753",210,1,2022-04-27 15:22:00,2022-04-27 15:22:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E1BF1C1",NA,NA,NA
"244","3DD.003E1BF1C2","989.001042018754","F1C2","8754",200,1,2022-04-27 15:19:00,2022-04-27 15:19:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1C2",NA,NA,NA
"246","3DD.003E1BF1C6","989.001042018758","F1C6","8758",250,1,2022-04-27 15:44:00,2022-04-27 15:44:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1C6",NA,NA,NA
"249","3DD.003E1BF1C9","989.001042018761","F1C9","8761",213,1,2022-04-27 15:23:00,2022-04-27 15:23:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E1BF1C9",NA,NA,NA
"250","3DD.003E1BF1CA","989.001042018762","F1CA","8762",205,1,2022-04-27 15:20:00,2022-04-27 15:20:00,"Image_Data/APP-4-27-22.csv","3DD.003E1BF1CA",NA,NA,NA
"251","3DD.003E1BF1CB","989.001042018763","F1CB","8763",232,1,2022-04-27 15:33:00,2022-04-27 15:33:00,"Image_Data/APP-4-27-22.csv","3DD.003E1BF1CB",NA,NA,NA
"253","3DD.003E1BF1CD","989.001042018765","F1CD","8765",225,1,2022-04-27 15:30:00,2022-04-27 15:30:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1CD",NA,NA,NA
"254","3DD.003E1BF1CE","989.001042018766","F1CE","8766",227,1,2022-04-27 15:31:00,2022-04-27 15:31:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1CE",NA,NA,NA
"255","3DD.003E1BF1CF","989.001042018767","F1CF","8767",222,1,2022-04-27 15:27:00,2022-04-27 15:27:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E1BF1CF",NA,NA,NA
"256","3DD.003E1BF1D0","989.001042018768","F1D0","8768",206,1,2022-04-27 15:21:00,2022-04-27 15:21:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E1BF1D0",NA,NA,NA
"257","3DD.003E1BF1D1","989.001042018769","F1D1","8769",204,1,2022-04-27 15:20:00,2022-04-27 15:20:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1D1",NA,NA,NA
"259","3DD.003E1BF1D3","989.001042018771","F1D3","8771",242,1,2022-04-27 15:39:00,2022-04-27 15:39:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1D3",NA,NA,NA
"260","3DD.003E1BF1D4","989.001042018772","F1D4","8772",247,1,2022-04-27 15:42:00,2022-04-27 15:42:00,"Image_Data/Brett_SC_Fish_Tagging_4_27_22.csv","3DD.003E1BF1D4",NA,NA,NA
"261","3DD.003E1BF1D5","989.001042018773","F1D5","8773",229,1,2022-04-27 15:32:00,2022-04-27 15:32:00,"Image_Data/APP-4-27-22.csv","3DD.003E1BF1D5",NA,NA,NA
"262","3DD.003E1BF1D6","989.001042018774","F1D6","8774",228,1,2022-04-27 15:31:00,2022-04-27 15:31:00,"Image_Data/APP-4-27-22.csv","3DD.003E1BF1D6",NA,NA,NA
"263","3DD.003E1BF1D7","989.001042018775","F1D7","8775",196,1,2022-04-27 15:17:00,2022-04-27 15:17:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E1BF1D7",NA,NA,NA
"264","3DD.003E1BF1D8","989.001042018776","F1D8","8776",248,1,2022-04-27 15:43:00,2022-04-27 15:43:00,"Image_Data/Brett_SC_Fish_Tagging_4_27_22.csv","3DD.003E1BF1D8",NA,NA,NA
"265","3DD.003E1BF1D9","989.001042018777","F1D9","8777",251,1,2022-04-27 16:19:00,2022-04-27 16:19:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1D9",NA,NA,NA
"266","3DD.003E1BF1DA","989.001042018778","F1DA","8778",241,1,2022-04-27 15:38:00,2022-04-27 15:38:00,"Image_Data/Brett_SC_Fish_Tagging_4_27_22.csv","3DD.003E1BF1DA",NA,NA,NA
"267","3DD.003E1BF1DB","989.001042018779","F1DB","8779",186,1,2022-04-27 14:52:00,2022-04-27 14:52:00,"Image_Data/APP-4-27-22.csv","3DD.003E1BF1DB",NA,NA,NA
"269","3DD.003E1BF1DE","989.001042018782","F1DE","8782",218,1,2022-04-27 15:25:00,2022-04-27 15:25:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1DE",NA,NA,NA
"270","3DD.003E1BF1DF","989.001042018783","F1DF","8783",230,1,2022-04-27 15:32:00,2022-04-27 15:32:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1DF",NA,NA,NA
"271","3DD.003E1BF1E0","989.001042018784","F1E0","8784",226,1,2022-04-27 15:31:00,2022-04-27 15:31:00,"Image_Data/APP-4-27-22.csv","3DD.003E1BF1E0",NA,NA,NA
"272","3DD.003E1BF1E1","989.001042018785","F1E1","8785",254,1,2022-04-27 16:21:00,2022-04-27 16:21:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1E1",NA,NA,NA
"273","3DD.003E1BF1E2","989.001042018786","F1E2","8786",211,1,2022-04-27 15:22:00,2022-04-27 15:22:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E1BF1E2",NA,NA,NA
"274","3DD.003E1BF1E3","989.001042018787","F1E3","8787",217,1,2022-04-27 15:25:00,2022-04-27 15:25:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1E3",NA,NA,NA
"275","3DD.003E1BF1E4","989.001042018788","F1E4","8788",233,1,2022-04-27 15:33:00,2022-04-27 15:33:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E1BF1E4",NA,NA,NA
"276","3DD.003E1BF1E5","989.001042018789","F1E5","8789",239,1,2022-04-27 15:37:00,2022-04-27 15:37:00,"Image_Data/Brett_SC_Fish_Tagging_4_27_22.csv","3DD.003E1BF1E5",NA,NA,NA
"278","3DD.003E1BF1E7","989.001042018791","F1E7","8791",194,1,2022-04-27 15:16:00,2022-04-27 15:16:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1E7",NA,NA,NA
"279","3DD.003E1BF1E8","989.001042018792","F1E8","8792",192,1,2022-04-27 15:15:00,2022-04-27 15:15:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E1BF1E8",NA,NA,NA
"280","3DD.003E1BF1E9","989.001042018793","F1E9","8793",231,1,2022-04-27 15:32:00,2022-04-27 15:32:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1E9",NA,NA,NA
"281","3DD.003E1BF1EA","989.001042018794","F1EA","8794",193,1,2022-04-27 15:16:00,2022-04-27 15:16:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1EA",NA,NA,NA
"282","3DD.003E1BF1EB","989.001042018795","F1EB","8795",207,1,2022-04-27 15:21:00,2022-04-27 15:21:00,"Image_Data/APP-4-27-22.csv","3DD.003E1BF1EB",NA,NA,NA
"283","3DD.003E1BF1EE","989.001042018798","F1EE","8798",214,1,2022-04-27 15:24:00,2022-04-27 15:24:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1EE",NA,NA,NA
"285","3DD.003E1BF1F1","989.001042018801","F1F1","8801",197,1,2022-04-27 15:17:00,2022-04-27 15:17:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1F1",NA,NA,NA
"286","3DD.003E1BF1F2","989.001042018802","F1F2","8802",215,1,2022-04-27 15:24:00,2022-04-27 15:24:00,"Image_Data/APP-4-27-22.csv","3DD.003E1BF1F2",NA,NA,NA
"287","3DD.003E1BF1F3","989.001042018803","F1F3","8803",198,1,2022-04-27 15:17:00,2022-04-27 15:17:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1F3",NA,NA,NA
"288","3DD.003E1BF1F4","989.001042018804","F1F4","8804",209,1,2022-04-27 15:22:00,2022-04-27 15:22:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E1BF1F4",NA,NA,NA
"289","3DD.003E1BF1F5","989.001042018805","F1F5","8805",202,1,2022-04-27 15:20:00,2022-04-27 15:20:00,"Image_Data/APP-4-27-22.csv","3DD.003E1BF1F5",NA,NA,NA
"293","3DD.003E1BF1F9","989.001042018809","F1F9","8809",212,1,2022-04-27 15:23:00,2022-04-27 15:23:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E1BF1F9",NA,NA,NA
"295","3DD.003E1BF1FB","989.001042018811","F1FB","8811",224,1,2022-04-27 15:29:00,2022-04-27 15:29:00,"Image_Data/APP-4-27-22.csv","3DD.003E1BF1FB",NA,NA,NA
"296","3DD.003E1BF1FC","989.001042018812","F1FC","8812",187,1,2022-04-27 14:53:00,2022-04-27 14:53:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E1BF1FC",NA,NA,NA
"297","3DD.003E1BF1FD","989.001042018813","F1FD","8813",235,1,2022-04-27 15:35:00,2022-04-27 15:35:00,"Image_Data/APP-4-27-22.csv","3DD.003E1BF1FD",NA,NA,NA
"298","3DD.003E1BF1FE","989.001042018814","F1FE","8814",185,1,2022-04-27 14:51:00,2022-04-27 14:51:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E1BF1FE",NA,NA,NA
